,Playlist,Track Name,Artist Name,Duration (ms),Popularity,Instrumentalness,Lyrics Path
33,Today's Top Hits,Noticed,Lil Mosey,165000,81,0.0,../Data_Files/Song_Lyrics/today_top_hits/Noticed|Lil Mosey.txt
34,Today's Top Hits,All I Am,Jess Glynne,218868,79,0.0,../Data_Files/Song_Lyrics/today_top_hits/All I Am|Jess Glynne.txt
35,Today's Top Hits,Jackie Chan,Tiësto,215759,94,0.0,../Data_Files/Song_Lyrics/today_top_hits/Jackie Chan|Tiësto.txt
36,Today's Top Hits,IDOL,BTS,260233,83,0.0,../Data_Files/Song_Lyrics/today_top_hits/IDOL|BTS.txt
37,Today's Top Hits,Youngblood,5 Seconds of Summer,203417,90,0.0,../Data_Files/Song_Lyrics/today_top_hits/Youngblood|5 Seconds of Summer.txt
38,Today's Top Hits,Magic In The Hamptons (feat. Lil Yachty),Social House,164640,80,0.0,../Data_Files/Song_Lyrics/today_top_hits/Magic In The Hamptons (feat. Lil Yachty)|Social House.txt
39,Today's Top Hits,Darkside,Alan Walker,211866,86,0.0,../Data_Files/Song_Lyrics/today_top_hits/Darkside|Alan Walker.txt
40,Today's Top Hits,High Hopes,Panic! At The Disco,190946,88,0.0,../Data_Files/Song_Lyrics/today_top_hits/High Hopes|Panic! At The Disco.txt
41,Today's Top Hits,8 Letters,Why Don't We,190026,79,0.0,../Data_Files/Song_Lyrics/today_top_hits/8 Letters|Why Don't We.txt
42,Today's Top Hits,Level Up,Ciara,204150,80,0.0107,../Data_Files/Song_Lyrics/today_top_hits/Level Up|Ciara.txt
43,Today's Top Hits,The Return,Logic,252133,77,0.0,../Data_Files/Song_Lyrics/today_top_hits/The Return|Logic.txt
44,Today's Top Hits,We Don't Care,Sigala,207429,80,0.0,../Data_Files/Song_Lyrics/today_top_hits/We Don't Care|Sigala.txt
45,Today's Top Hits,Finest Hour (feat. Abir),Cash Cash,215781,80,0.0,../Data_Files/Song_Lyrics/today_top_hits/Finest Hour (feat. Abir)|Cash Cash.txt
46,Today's Top Hits,SWISH,Tyga,194935,87,0.0,../Data_Files/Song_Lyrics/today_top_hits/SWISH|Tyga.txt
47,Today's Top Hits,Ring (feat. Kehlani),Cardi B,177139,79,0.0,../Data_Files/Song_Lyrics/today_top_hits/Ring (feat. Kehlani)|Cardi B.txt
48,Today's Top Hits,Still New York,MAX,224914,76,0.0,../Data_Files/Song_Lyrics/today_top_hits/Still New York|MAX.txt
49,Today's Top Hits,broken,lovelytheband,204878,78,4.26e-06,../Data_Files/Song_Lyrics/today_top_hits/broken|lovelytheband.txt
