,Playlist,Track Name,Artist Name,Duration (ms),Popularity,Instrumentalness,Lyrics Path
33,RapCaviar,Pull Up (feat. NAV),A Boogie Wit da Hoodie,193575,75,0,../Data_Files/Song_Lyrics/rap_caviar/Pull Up (feat. NAV)|A Boogie Wit da Hoodie.txt
34,RapCaviar,Head On (feat. Kevin Gates),YoungBoy Never Broke Again,117995,73,4.47e-06,../Data_Files/Song_Lyrics/rap_caviar/Head On (feat. Kevin Gates)|YoungBoy Never Broke Again.txt
35,RapCaviar,SWISH,Tyga,194935,87,0,../Data_Files/Song_Lyrics/rap_caviar/SWISH|Tyga.txt
36,RapCaviar,The Return,Logic,252133,77,0,../Data_Files/Song_Lyrics/rap_caviar/The Return|Logic.txt
37,RapCaviar,NaN,NaN,NaN,NaN,NaN,../Data_Files/Song_Lyrics/rap_caviar/NaN|NaN.txt
38,RapCaviar,NaN,NaN,NaN,NaN,0,../Data_Files/Song_Lyrics/rap_caviar/NaN|NaN.txt
39,RapCaviar,Chun Swae (feat. Swae Lee),Nicki Minaj,370440,75,0.00151,../Data_Files/Song_Lyrics/rap_caviar/Chun Swae (feat. Swae Lee)|Nicki Minaj.txt
40,RapCaviar,In My Feelings,Drake,217933,83,0.0144,../Data_Files/Song_Lyrics/rap_caviar/In My Feelings|Drake.txt
41,RapCaviar,2 Seater (feat. Quavo & 21 Savage),DJ Holiday,158796,73,0,../Data_Files/Song_Lyrics/rap_caviar/2 Seater (feat. Quavo & 21 Savage)|DJ Holiday.txt
42,RapCaviar,Kept Back (feat. Lil Pump),Gucci Mane,177651,76,0,../Data_Files/Song_Lyrics/rap_caviar/Kept Back (feat. Lil Pump)|Gucci Mane.txt
43,RapCaviar,Album of the Year - Freestyle,J. Cole,138872,78,0,../Data_Files/Song_Lyrics/rap_caviar/Album of the Year - Freestyle|J. Cole.txt
44,RapCaviar,Rotation 112th (feat. Rich The Kid) - Remix,Jay Rock,297826,63,0.000122,../Data_Files/Song_Lyrics/rap_caviar/Rotation 112th (feat. Rich The Kid) - Remix|Jay Rock.txt
45,RapCaviar,APESHIT,The Carters,264853,79,0,../Data_Files/Song_Lyrics/rap_caviar/APESHIT|The Carters.txt
46,RapCaviar,It's A Slime (feat. Lil Uzi Vert),Young Thug,142840,73,0,../Data_Files/Song_Lyrics/rap_caviar/It's A Slime (feat. Lil Uzi Vert)|Young Thug.txt
47,RapCaviar,I Might Need Security,Chance the Rapper,240640,80,0,../Data_Files/Song_Lyrics/rap_caviar/I Might Need Security|Chance the Rapper.txt
48,RapCaviar,XTCY,Kanye West,176613,68,0,../Data_Files/Song_Lyrics/rap_caviar/XTCY|Kanye West.txt
49,RapCaviar,Barbie Dreams,Nicki Minaj,279866,82,0,../Data_Files/Song_Lyrics/rap_caviar/Barbie Dreams|Nicki Minaj.txt
